id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returnedreason,deceasedreason,diedoffshelter,puttosleep,isdoa
0,2009-11-28,Moving,0,C09115463,0A115D7358,Jadzia,Domestic Short Hair,Tortie,Cat,9.2,Female,Adoptable Cat Glass Colony,2017-05-13,Adoption,0.0,Stray,Died in care,0,0,0
1,2009-12-08,Moving,0,D09125594,0A11675477,Gonzo,German Shepherd Dog/Mix,Tan,Dog,9.1,Male,Adoptable Dogs,2017-04-24,Adoption,0.0,Stray,Died in care,0,0,0
2,2012-08-10,Abandoned,0,D12082309,0A13253C7B,Maggie,Shep Mix/Siberian Husky,Various,Dog,6.7,Female,Adoptable Dogs,2017-04-15,Adoption,0.0,Stray,Died in care,0,0,0
3,2013-01-11,Abandoned,0,C1301091,0A13403D4D,Pretty Girl,Domestic Short Hair,Dilute tortoiseshell,Cat,8.9,Female,Stray Cats,2017-04-18,Foster,0.0,Stray,Died in care,0,0,0
4,2013-03-26,Incompatible with owner lifestyle,0,D1303720,981020007006095,Bonnie,Basenji/Mix,Brown and White,Dog,5.9,Female,Stray Dogs Beta,2013-03-30,Adoption,0.0,Incompatible with owner lifestyle,Died in care,0,0,0
5,2015-06-19,Abandoned,0,R15061738,0A48270289,Candy,American Sable/American,Brown,House Rabbit,4.5,Female,Lobby,2017-04-12,Transfer,0.0,Stray,Died in care,0,0,0
6,2015-06-19,Abandoned,0,R15061739,0A13516839,Charlotte,American Sable/American,Brown,House Rabbit,4.5,Female,Lobby,2017-04-12,Transfer,0.0,Stray,Died in care,0,0,0
7,2016-10-09,Abandoned,0,D16103207,981020019070093,Tennessee,Heeler/Mix,Brown and Black,Dog,3.2,Male,Special Care Dogs,2016-11-26,Foster,0.0,Stray,Died in care,0,0,0
8,2016-10-26,Abandoned,0,C16103406,981020017650993,Nova,Domestic Long Hair,Black,Cat,12.2,Female,Stray Cats,2017-03-25,Foster,0.0,Stray,"UU - untreatable, unmanageable",0,1,0
9,2016-11-21,Abandoned,0,D16113659,981020017897009,Baby,Pitbull,White,Dog,4.1,Male,Adoptable Dogs,2017-04-07,Adoption,0.0,Stray,Died in care,0,0,0
10,2017-01-11,Abandoned,0,C17011137,981020021072899,Vivian,Himalayan,Seal,Cat,5.0,Female,Foster,2017-01-18,Foster,0.0,Stray,Died in care,0,0,0
11,2017-01-17,Abandoned,0,D17011163,981020021063793,Dinah,Labrador Retriever/Affenpinscher,Black,Dog,3.8,Female,Foster,2017-03-31,Foster,0.0,Stray,Died in care,0,0,0
12,2017-01-17,Abandoned,0,R17011173,0A22826225,Maxwell,American,Black,House Rabbit,3.8,Male,Lobby,2017-03-27,Foster,0.0,Stray,Died in care,0,0,0
13,2017-01-17,Abandoned,0,R17011174,0A79152900,Hammer,American,Black,House Rabbit,3.8,Male,Lobby,2017-03-27,Foster,0.0,Stray,Died in care,0,0,0
14,2017-01-22,Abandoned,0,C17011213,981020021020775,Mama Mia,Domestic Short Hair,Grey and White,Cat,3.2,Female,Adoptable Cat Glass Colony,2017-02-03,Foster,0.0,Stray,Died in care,0,0,0
